# ============================================================================
# FFO REPERTOIRE - Professional C4-based Opening Book (Full)
# ============================================================================
# File: 00_opening_ffo.txt
# Source: Fédération Française d'Othello – Répertoire d'ouvertures
#         https://www.ffothello.org/strategie/repertoire-douvertures/
#         Thanks to the volunteer editors and historians of FFO.
#
# Content: Full conversion from the FFO French repertoire (C4-based families and sub-variations)
# Format: NAME | MOVES | ADVANTAGE
#
# Legend (advantage after the listed sequence):
#   b   = Black slightly better (Noir)
#   b+  = Black better
#   b++ = Black clearly better
#   w   = White slightly better (Blanc)
#   w+  = White better
#   w++ = White clearly better
#   =   = Roughly equal / not specified
#
# Conventions:
# - Names standardized in English when widely used (Heath, Tanida, Diagonal, Ishii, Rose, Brightwell, etc.).
# - When no widely used English name exists, the FFO French label is retained, minimally anglicized.
# - MOVES are in short format without spaces; Black moves in UPPERCASE, White in lowercase.
# - This file preserves the repertoire structure and order as in the French source when possible.
# ============================================================================

Diagonal Opening | C4c3D3c5 | =
Heath Comp’oth Central | C4c3D3c5B4d2D6b5 | =
Heath Comp’oth Buridan | C4c3D3c5B4d2D6b5C6 | =
Heath Comp’oth General | C4c3D3c5B4d2D6b5E6 | =
Heath Comp’oth Contender | C4c3D3c5B4d2D6b5E6f3 | =
Heath Comp’oth Contender, Var.. De Concrete | C4c3D3c5B4d2D6b5E6f3B3a4A3a2A5a6 | =
Heath Comp’oth Contender, Var.. D'insertion | C4c3D3c5B4d2D6b5E6f3B3c6A6a4A3a5B6 | =
Heath Comp’oth Ralle | C4c3D3c5B4d2D6b5E6f3E3 | =
Heath Comp’oth Flat | C4c3D3c5B4d2D6b5E6f4 | =
Heath Comp’oth Flat, Var.. De Concrete | C4c3D3c5B4d2D6b5E6f4B3a4A3a2A5a6 | =
Heath Comp’oth Flat, Var.. D'insertion | C4c3D3c5B4d2D6b5E6f4B3c6A6f5 | =
Heath Comp’oth Diagonal | C4c3D3c5B4d2D6b3 | =
Heath Comp’oth Murakami | C4c3D3c5B4d2D6b3E6 | =
Heath Comp’oth Murakami Edge | C4c3D3c5B4d2D6b3E6f4E3c6B5a5 | =
Heath Comp’oth Murakami Au Centre | C4c3D3c5B4d2D6b3E6f4E3f5 | =
Heath Comp’oth Takizawa | C4c3D3c5B4d2D6b3E3c6C2 | =
Heath Comp’oth Orthodox | C4c3D3c5B4d2D6b3E3f5 | =
Heath Comp’oth Brightwell | C4c3D3c5B4d2D6b3E3f5E6 | =
Heath Comp’oth Computer | C4c3D3c5B4d2D6b3E3f5C2 | =
Heath Comp’oth Checkerboard | C4c3D3c5B4d2D6b3E3f5F4g4 | =
Heath Comp’oth Chinese | C4c3D3c5B4d2D6b3C6 | =
Heath Comp’oth Groupée Moderne | C4c3D3c5B4d2D6b3C6b5B3c6A6 | =
Heath Comp’oth Groupée, Var.. De Concrete | C4c3D3c5B4d2D6b3C6b5B3a4A3a2A5a6 | =
Heath Comp’oth Right | C4c3D3c5B4d2D6c6 | =
Heath Comp’oth Cannibal | C4c3D3c5B4d2D6c6E6f6 | =
Heath Comp’oth Canoë | C4c3D3c5B4d2D6c6E6d7 | =
Heath Comp’oth Sauvage | C4c3D3c5B4d2D6c6E6f4 | =
Heath Classic | C4c3D3c5B4d2C2 | =
Heath Edge | C4c3D3c5B4d2C2a4 | =
Heath Outer Edge | C4c3D3c5B4d2C2a4E6 | =
Heath Var. Old | C4c3D3c5B4d2C2a4E6f3D6e2B6 | =
Heath Var. Bracchi | C4c3D3c5B4d2C2a4E6f3E2f5B5a5 | =
Heath Japonaise | C4c3D3c5B4d2C2a4E6f3E2f5B5a5E3 | =
Heath En Coin | C4c3D3c5B4d2C2a4E6f3E2f5B5a5F6 | =
Heath Standard | C4c3D3c5B4d2C2a4E6f3E2f5B5a5D6 | =
Heath Edge Median | C4c3D3c5B4d2C2a4D6 | =
Heath Shaman | C4c3D3c5B4d2C2a4D6e6C6 | =
Heath Shaman Retardée | C4c3D3c5B4d2C2a4D6e6B5b3C6 | =
Heath Var. Carré Blanc | C4c3D3c5B4d2C2a4D6e6B5a5C6 | =
Heath Scorpion | C4c3D3c5B4d2C2a4D6e6B5a5B6 | =
Heath Edge Diagonal | C4c3D3c5B4d2C2a4B5 | =
Heath Diagonal Edge | C4c3D3c5B4d2C2a4B5a5D6e3 | =
Heath Diagonal Sur Le Prébord | C4c3D3c5B4d2C2a4B5b3D6 | =
Heath Kawazoe | C4c3D3c5B4d2C2a4B5b3D6a5 | =
Heath Shaman Retardée (interversion) | C4c3D3c5B4d2C2a4B5b3D6e6C6 | =
Heath Var. Ka | C4c3D3c5B4d2C2a4B5b3D6c6 | =
Heath Var. 56 | C4c3D3c5B4d2C2a4B5b3D6c1 | =
Heath Marconi | C4c3D3c5B4d2C2b3 | =
Heath Mystère | C4c3D3c5B4d2C2f4C6b5 | =
Heath Mirage | C4c3D3c5B4d2C2f4C6b6A6a4 | =
Peccerillo | C4c3D3c5B5 | =
Raton Laveur | C4c3D3c5C6 | =
Raton Var. Shaman Diagonal | C4c3D3c5C6f4C2 | =
Coquelicot | C4c3D3c5B6e3 | =
Hamilton | C4c3D3c5B6c6 | =
Sprague | C4c3D3c5B6b5 | =
Ishii | C4c3D3c5F6 | =
Ishii Transverse | C4c3D3c5F6f5 | =
Ishii Tigre | C4c3D3c5F6f5E6 | =
Ishii Heath | C4c3D3c5F6f5B4 | =
Ishii Right | C4c3D3c5F6d2 | =
Ishii T Blanc | C4c3D3c5F6d2C6d6E6d7B4f4 | =
Ishii Detached | C4c3D3c5F6e2 | =
Ishii Lazard | C4c3D3c5F6e2D6 | =
Ishii T Noir | C4c3D3c5F6e2D6e3D2f5B5 | =
Ishii Élyséenne | C4c3D3c5F6e2D6e3D2f4F3 | =
Ishii Matignon | C4c3D3c5F6e2D6e3D2f4F5e6 | =
Ishii Detached En Coin | C4c3D3c5F6e2C6 | =
Panthéon | C4c3D3c5F6e2C6e3B4b5D6d7D2 | =
Ishii Detached Classic | C4c3D3c5F6e2C6e3B4b5D6b3 | =
Ishii Concrete | C4c3D3c5F6e2C6e3B4b5D6b3A3 | =
Ishii De Sacrifice | C4c3D3c5F6e2C6e3B4b5D6b3D2b6C2c1D1e1F1g1B2 | =
Var. D'évitement | C4c3D3c5F6e2C6e3B4b5D6b3D2b6C2c1D1f5 | =
Var. D'évitement Accélérée | C4c3D3c5F6e2C6e3B4b5D6b3D2b6C2f5 | =
Ishii Nordic | C4c3D3c5F6e2C6e3B4b5D6a4 | =
Var. Vallund | C4c3D3c5F6e2C6e3B4b5D6a4B3b6D2a3C2 | =
Var. Vallund Du Pion Blanc | C4c3D3c5F6e2C6e3B4b5D6a4D2b6B3a3C2 | =
Ishii Old | C4c3D3c5F6e2C6e3B4b5D6b6 | =
Var. Right Edge | C4c3D3c5F6e2C6e3B4b5D6b6A5 | =
Var. Mini-diagonal | C4c3D3c5F6e2C6e3B4b5D6b6B3c7 | =
Ishii Penloup | C4c3D3c5F6e2C6e3B4b5B3d6C7 | =
Ishii Takizawa | C4c3D3c5F6e2C6e3B4b5B3d6D2 | =
Var. Des Danseurs | C4c3D3c5F6e2C6e3B4d6B5f5E6e7C2d7F7 | =
Ishii Attached | C4c3D3c5F6e3 | =
Ishii Piau | C4c3D3c5F6e3C6d6 | =
Ishii Piau Diagonal | C4c3D3c5F6e3C6d6E6f3 | =
Ishii Piau Right | C4c3D3c5F6e3C6d6E6f4B5d7E7f5G5g4F7 | =
Ishii Cannibal | C4c3D3c5F6e3C6f5 | =
Cannibal P | C4c3D3c5F6e3C6f5F4c7 | =
Zèbre | C4c3D3c5F6e3C6f5F4g3F3g4D2 | =
Chariot | C4c3D3c5F6e3C6f5F4g3B5 | =
Chariot Edge | C4c3D3c5F6e3C6f5F4g3B5a6 | =
Troïka | C4c3D3c5F6e3C6f5F4g3B5b6D2 | =
Cannibal Cannibalesque | C4c3D3c5F6e3C6f5F4g5 | =
Cannibal Central | C4c3D3c5F6e3C6f5F4g5F3g4 | =
Cannibal 11 Edge | C4c3D3c5F6e3C6f5F4g5H4 | =
Cannibal Diagonal | C4c3D3c5F6e3C6f5F4g5H4h6F3g6 | =
Cannibal Diagonal Transverse | C4c3D3c5F6e3C6f5F4g5H4h6F3g6B4 | =
Cannibal Diagonal Maruoka | C4c3D3c5F6e3C6f5F4g5H4h6F3g6D6 | =
Cannibal Classic | C4c3D3c5F6e3C6f5F4g5H4h6F3g4H3g3B4 | =
Cannibal Var. Tezuka | C4c3D3c5F6e3C6f5F4g5H4h6F3g4H3g3B5 | =
Cannibal Murakami | C4c3D3c5F6e3C6f5F4g5H4h6F3g4H3d6 | =
Diagonal Opening Classic | C4c3D3c5D6f4F5 | =
Opening Elvis | C4c3D3c5D6f4F5d7B3 | b+
Opening Tanida | C4c3D3c5D6f4F5d2 | =
Tanida, Var. Okada | C4c3D3c5D6f4F5d2G4e6 | b+
Tanida, Var. Du Voilier | C4c3D3c5D6f4F5d2G4d7 | =
Tanida Clipper | C4c3D3c5D6f4F5d2G4d7C7e7C6b6 | =
Tanida Drakkar | C4c3D3c5D6f4F5d2G4d7C7e7C6b5B4e3A6 | =
Var. Feldborg | C4c3D3c5D6f4F5d2G4d7C7e7C6b5B4e3A6e6F3g6 | w+
Var. Wahlberg | C4c3D3c5D6f4F5d2G4d7C7e7C6b5B4e3A6e6F3b3E2 | b+
Tanida Junk | C4c3D3c5D6f4F5d2G4d7C7e7C6b5B4e3B6e6F6g3F3 | w+
Tanida Goelette | C4c3D3c5D6f4F5d2G4d7C7e7C6b5B4e3E2b3 | w+
Tanida Frigate | C4c3D3c5D6f4F5d2G4d7C7e7C6e6F6f7 | =
Var. Edge | C4c3D3c5D6f4F5d2G4d7C7e7C6e6F6f7C8 | =
Var. Central | C4c3D3c5D6f4F5d2G4d7C7e7C6e6F6f7B5b4 | w+
Tanida Prao | C4c3D3c5D6f4F5d2G4d7C7e7C6e6B4f6B5 | =
Var. Hosaka | C4c3D3c5D6f4F5d2G4d7C7e7C6e6B4f6B5b6F8 | =
Var. Hasegawa | C4c3D3c5D6f4F5d2G4d7C7e7C6e6B4f6B5e3 | w+
Tanida Sampang | C4c3D3c5D6f4F5d2G4d7C7f6E6c6 | =
Var. Hashiguchi | C4c3D3c5D6f4F5d2G4d7C7f6E6c6F7 | w++
Var. Suekuni | C4c3D3c5D6f4F5d2G4d7C7f6E6c6B5 | =
Tanida Yole | C4c3D3c5D6f4F5d2G4d7C6e6 | =
Tanida Caravel | C4c3D3c5D6f4F5d2G4d7C6c7 | =
Var. Daunas | C4c3D3c5D6f4F5d2G4d7C6c7B5b4 | w++
Var. Principale | C4c3D3c5D6f4F5d2G4d7C6c7B4b5B3e3A6 | =
Principale De Concrete | C4c3D3c5D6f4F5d2G4d7C6c7B4b5B3e3A6a4 | w++
Principale Central | C4c3D3c5D6f4F5d2G4d7C6c7B4b5B3e3A6e6 | =
Tanida En Coin | C4c3D3c5D6f4F5d2F3e6F6 | b++
Tanida Moderne | C4c3D3c5D6f4F5d2F3d7 | =
Tanida Chalutier | C4c3D3c5D6f4F5d2F3d7C6e6F6e7D8 | =
Var. Central | C4c3D3c5D6f4F5d2F3d7C6e6F6e7D8b5C8 | b++
Var. Edge | C4c3D3c5D6f4F5d2F3d7C6e6F6e7D8f8 | b+
Tanida Liner | C4c3D3c5D6f4F5d2F3d7C6c7 | =
Var. Titanic | C4c3D3c5D6f4F5d2F3d7C6c7B4e3E2 | b++
Var. Handel | C4c3D3c5D6f4F5d2F3d7C6c7B4b5B3e3A6 | =
Handel Concrete | C4c3D3c5D6f4F5d2F3d7C6c7B4b5B3e3A6a4 | =
Handel Central | C4c3D3c5D6f4F5d2F3d7C6c7B4b5B3e3A6e6C2 | b+
Var. Italienne | C4c3D3c5D6f4F5d2F3d7C6c7B5b4A4e3E2 | b+
Tanida Cargo | C4c3D3c5D6f4F5d2F3d7C6b5B4e3 | =
Var. En Croix | C4c3D3c5D6f4F5d2F3d7C6b5B4e3D1 | b+
Var. Hansson | C4c3D3c5D6f4F5d2F3d7C6b5B4e3E2 | =
Tanida Icebreaker | C4c3D3c5D6f4F5d2F3d7C2 | =
Var.. Nakajima | C4c3D3c5D6f4F5d2F3d7C2e2C6b4 | w+
Var.. De Ribbentrop | C4c3D3c5D6f4F5d2F3d7C2e3B4 | =
Tanida Tugboat | C4c3D3c5D6f4F5d2F3d7C7e7C6 | =
Var.. Ohno | C4c3D3c5D6f4F5d2F3d7C7e7C6b5 | =
Var.. Cagley-johnson | C4c3D3c5D6f4F5d2F3d7C7e7C6e6 | w+
Tanida, Var. Aircraft | C4c3D3c5D6f4F5d2B5 | =
Tanida Aircraft Décollé | C4c3D3c5D6f4F5d2B5b6 | =
Var. Hiryu | C4c3D3c5D6f4F5d2B5b6B4c6B3 | w+
Var. Saiun | C4c3D3c5D6f4F5d2B5b6B3a6 | =
Var.. Devoitine | C4c3D3c5D6f4F5d2B5b6B3b4 | =
Tanida Aircraft Nordic | C4c3D3c5D6f4F5d2B5b6E2 | =
Var.. Breda | C4c3D3c5D6f4F5d2B5b6E2b4G4e3B3e6 | =
Var.. Morane-saulnier | C4c3D3c5D6f4F5d2B5b6E2b4D1e3B3e6C6e7 | b+
Var.. Curtis | C4c3D3c5D6f4F5d2B5b6E2e3C6 | b++
Var.. Wildcat | C4c3D3c5D6f4F5d2B5b6E2a5 | =
Tanida Aircraft Attached | C4c3D3c5D6f4F5d2B5c6 | =
Suite Japonaise | C4c3D3c5D6f4F5d2B5c6B6e6 | =
Var. Reisen | C4c3D3c5D6f4F5d2B5c6B6e6E3g4F6f3 | w+
Var. Shiragihu | C4c3D3c5D6f4F5d2B5c6B6e6E3f6 | =
Var. Tenzan | C4c3D3c5D6f4F5d2B5c6B6e6E3d7C7 | =
Var. Hien | C4c3D3c5D6f4F5d2B5c6B6e6E3f3 | =
Var. Shilden Kai | C4c3D3c5D6f4F5d2B5c6B6e6F6d7 | =
Tanida Aircraft Central | C4c3D3c5D6f4F5d2B5c6B4e6 | =
Var. Kyofu | C4c3D3c5D6f4F5d2B5c6B4e6F7a3 | w++
Var. Myrsky | C4c3D3c5D6f4F5d2B5c6B4e6F7f3 | w+
Var. Hellcat | C4c3D3c5D6f4F5d2B5c6B4e6E2b3 | =
Chimney | C4c3D3c5D6e3 | =
Perpendicular Opening | C4e3 | =
Collay | C4e3F3 | =
Italienne | C4e3F5 | =
Chat | C4e3F5e6F4 | =
Nicolet | C4e3F5e6F4g5 | =
Var. Principale | C4e3F5e6F4g5F6e7G3f3G4d3H6h4 | =
Var. Moderne | C4e3F5e6F4g5E2c5D6c6 | =
Suite Maligne | C4e3F5e6F4g5E2c5D6c6B5f3 | =
Suite Favorable | C4e3F5e6F4g5E2c5D6c6F6f3D7 | =
Tanida Inversée | C4e3F5e6F4c5E2b4C3e7 | =
Américaine | C4e3F5e6F4c5D6c6B5 | =
Var. Usuelle | C4e3F5e6F4c5D6c6B5b3 | =
Suite Usuelle | C4e3F5e6F4c5D6c6B5b3D3f6E7 | =
Suite Empirique | C4e3F5e6F4c5D6c6B5b3B4 | =
Var. Naturelle Réfutée | C4e3F5e6F4c5D6f6 | =
Romaine | C4e3F5e6F4c5D6c6F7 | =
Romaine Connexe | C4e3F5e6F4c5D6c6F7f3D3e7B5g3G4f6 | =
Var. Penloup | C4e3F5e6F4c5D6c6F7f3D3e7B5g3G4f6G5f8C7h6D7h4 | =
Var. Glissée Edge | C4e3F5e6F4c5D6c6F7f3D3e7B5g3G4f6G5f8C7h5H4 | =
Romaine Var. Des Minis Diagos (var.. Russe) | C4e3F5e6F4c5D6c6F7f3D3e7B5g3G4b6F2h4C7 | =
Var. Svirskiy | C4e3F5e6F4c5D6c6F7f3D3e7B5g3G4b6E8f6G6 | =
Var. Andriani | C4e3F5e6F4c5D6c6F7f3D3e7B5g3G4d2 | =
Romaine Handel | C4e3F5e6F4c5D6c6F7f3E2 | =
Var. Right | C4e3F5e6F4c5D6c6F7f3E2c3F2f6E7 | =
Var. Diagonal | C4e3F5e6F4c5D6c6F7f3E2g3 | =
Romaine Checkerboard Ou Tamenori | C4e3F5e6F4c5D6c6F7g5 | =
Suite Marconi | C4e3F5e6F4c5D6c6F7g5G4e7E2f2D2c3 | =
Var. Tulipe | C4e3F5e6F4c5D6c6F7c3 | =
Rose | C4e3F4c5D6f3E6c3 | =
Rose Greenberg | C4e3F4c5D6f3E6c3D3e2D2 | =
Défense Tamenori | C4e3F4c5D6f3E6c3D3e2D2f2F5c1 | =
Réfutation Tamenori | C4e3F4c5D6f3E6c3D3e2D2f2F5c1E1d1 | =
Var. Du Double Accès | C4e3F4c5D6f3E6c3D3e2D2f2F5c1G3g4G2 | =
Var. Finlandaise | C4e3F4c5D6f3E6c3D3e2D2f2F5c1B4 | =
Greenberg Classic | C4e3F4c5D6f3E6c3D3e2D2f2F5c6 | =
Greenberg Originelle | C4e3F4c5D6f3E6c3D3e2D2f2F5c6E1f1C2c1G1d7 | =
Greenberg Polyakov | C4e3F4c5D6f3E6c3D3e2D2f2F5c6E1f1G1 | =
Suite Polyakov | C4e3F4c5D6f3E6c3D3e2D2f2F5c6E1f1G1d7G3h3C2f7 | =
Var. Penloup | C4e3F4c5D6f3E6c3D3e2D2f2F5c6E1f1G1d7G3d1C1c2B1f7 | =
Var. De Barcelona | C4e3F4c5D6f3E6c3D3e2D2f2F5c6E1f1G1d1C1c2B1d7 | =
Var. Shastein | C4e3F4c5D6f3E6c3D3e2D2f2F5c6E1f1G1d1C1c2B1d7G4f6 | =
Var. Grosse Masse | C4e3F4c5D6f3E6c3D3e2D2f2F5c6E1f1G1d1C1c2B1d7G4f7B4 | =
Greenberg Alard | C4e3F4c5D6f3E6c3D3e2D2f2F5c6G3g4G5 | =
Greenberg Classic (par Interversion) | C4e3F4c5D6f3E6c3D3e2D2f2E1c6F5 | =
Greenberg Semi-originelle | C4e3F4c5D6f3E6c3D3e2D2f2E1f1C2c1G1 | =
Greenberg Originelle (par Interversion) | C4e3F4c5D6f3E6c3D3e2D2f2E1f1C2c6F5c1G1d7 | =
Greenberg Alard (par Interversion) | C4e3F4c5D6f3E6c3D3e2D2f2G3c6F5g4G5 | =
Greenberg Classic | C4e3F4c5D6f3E6c3D3e2D2c6F5f2E1 | =
Greenberg Alard (par Interversion) | C4e3F4c5D6f3E6c3D3e2D2c6F5f2G3g4G5 | =
Greenberg Wahlberg | C4e3F4c5D6f3E6c3D3e2D2c6E1d7G4 | =
Rose Diagonal | C4e3F4c5D6f3E6c3D3e2B6 | =
Rose Piau | C4e3F4c5D6f3E6c3D3e2B6f5D2 | =
Rose Piau Classic | C4e3F4c5D6f3E6c3D3e2B6f5D2f6B5 | =
Rose Piau-marconi | C4e3F4c5D6f3E6c3D3e2B6f5D2f6B4 | =
Rose Transverse Retardée | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5 | =
Rose Collay | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5e7D7 | =
Rose Brightstein | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5d7 | =
Brightstein Classic | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5d7G4 | =
Brightstein Var.. Piau | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5d7G4e7F2g3D1b3C6 | =
Brightstein Var.. Torben | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5d7G4e7F2g3F7 | =
Brightstein Var.. Piau (par Interversion) | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5d7G4e7F2b3C6g3D1 | =
Brightstein Var.. Lazard | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5d7G4e7F2g6C6b3C7 | =
Brightstein Var.. Clef Anglaise | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5d7G4e7C2d2C6 | =
Brightstein Tastet | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5d7G4b3 | =
Brightstein Tastet Ko | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5d7G4b3C7e7 | =
Brightstein Tastet 2 Contre 1 | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5d7G4b3F2c6 | =
Brightstein Andersson | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5d7G6 | =
Brightstein Adersson Central | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5d7G6b3C6e7 | =
Brightstein Andersson Edge | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5d7G6b3C6a4G3 | =
Brightstein Andersson Morillon | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5d7G6e7F7g4C6h6C8 | =
Brightstein Cric | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5d7C6 | =
Brightstein Cric Central | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5d7C6e7 | =
Brightstein Cric Diagonal | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5d7C6b3 | =
Brightstein Bhagat | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5d7E7 | =
Brightstein Retardée | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5g6G4d7 | =
Défense Bhagat | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5g6G4d7E7 | =
Défense Danish | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5g6G4d7C6 | =
Rose Fautive | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5g6G4h4H5h6G3f2 | =
Rose Brisson | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5g6G4h4H5h6G3h3F7 | =
Rose Tardy | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5g6G4h4H5h6G3h3E1 | =
Rose Concrete | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5g6G4h4H5h6G3h3C2 | =
Rose Concrete Var.. Attached | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5g6G4h4H5h6G3h3C2d7 | =
Rose Concrete Var.. D'extraction | C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5g6G4h4H5h6G3h3C2c7 | =
Rose Tournante | C4e3F4c5D6f3E6c3D3e2B6f5B4f6C2 | =
Tournante Tourniquet | C4e3F4c5D6f3E6c3D3e2B6f5B4f6C2e7D2c7F1c6F2a6G3b5 | =
Tournante Manège | C4e3F4c5D6f3E6c3D3e2B6f5B4f6C2e7D2c7D7c8F1c6F2a6G3b5 | =
Tournante Paradoxale | C4e3F4c5D6f3E6c3D3e2B6f5B4f6C2e7D2c7D8 | =
Paradoxale Réussie | C4e3F4c5D6f3E6c3D3e2B6f5B4f6C2e7D2c7D8c6F1b5F2 | =
Paradoxale Var.. De Sacrifice | C4e3F4c5D6f3E6c3D3e2B6f5B4f6C2e7D2c7D8c6F1a6A5b5F2a4D7b3A3a2B7 | =
Idem (par Interversion) | C4e3F4c5D6f3E6c3D3e2B6f5B4f6C2e7D2c7D8c6F1a6F2b5A5a4D7b3A3a2B7 | =
Tournante Tamenori | C4e3F4c5D6f3E6c3D3e2B6f5B4f6C2b3D2d7 | =
Rose Transverse | C4e3F4c5D6f3E6c3D3e2B6f5G5 | =
Brightstein Accélérée | C4e3F4c5D6f3E6c3D3e2B6f5G5d7C6 | =
Transverse Compacte | C4e3F4c5D6f3E6c3D3e2B6f5G5f6 | =
Transverse Principale | C4e3F4c5D6f3E6c3D3e2B6f5G5g6 | =
Transverse Du Pion Isolé | C4e3F4c5D6f3E6c3D3e2B6f5G5g6G4 | =
Transverse Go | C4e3F4c5D6f3E6c3D3e2B6f5G5g6G4h5 | =
Transverse Right Edge | C4e3F4c5D6f3E6c3D3e2B6f5G5g6G4h4 | =
Transverse Trois Croix | C4e3F4c5D6f3E6c3D3e2B6f5G5g6G3 | =
Var. Mercedes | C4e3F4c5D6f3E6c3D3e2B6f5G5g6G3g4 | =
Var. De L'arche | C4e3F4c5D6f3E6c3D3e2B6f5G5g6G3h6 | =
Classic | C4e3F4c5D6f3E6c3D3e2B6f5G5g6G3f6G4 | =
Var. De Concrete | C4e3F4c5D6f3E6c3D3e2B6f5G5g6G3f6G4h3 | =
Rose Concrete (par Interversion) | C4e3F4c5D6f3E6c3D3e2B6f5G5g6G3f6G4h3B4h4H5h6C2 | =
Var. Épineuse | C4e3F4c5D6f3E6c3D3e2B6f5G5g6B4 | =
Brightwell Retardée (par Interversion) | C4e3F4c5D6f3E6c3D3e2B6f5G5g6B4f6G4d7C6e7 | =
Rose Concrete (par Interversion) | C4e3F4c5D6f3E6c3D3e2B6f5G5g6B4f6G4h4H5h6G3h3C2 | =
Rose Daunas | C4e3F4c5D6f3E6c3D3e2B6f5B3 | =
Rose Daunas Tournante | C4e3F4c5D6f3E6c3D3e2B6f5B3f6C2e7D2c7F1c6 | =
